key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:inventor
#ticker
invention-01,"","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2100/07/01 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
invention-02,ab12-ABCDE123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2100/07/01 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
invention-03,ABC1-ABCDE123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2100/07/01 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
invention-04,A123-ABCDE123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2100/07/01 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
invention-05,AB12_ABCDE123,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2100/07/01 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
invention-06,AB12-ABCD,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2100/07/01 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
invention-07,AB12-ESTOESDEMASIADOLARGO,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2100/07/01 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
#name,"",""
invention-08,IN02-abcdef,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2100/07/01 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
invention-09,IN03-abcdef,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2100/07/01 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
#description
invention-10,IN04-abcdef,"Lorem ipsum dolor sit amet, consectetu","",2100/07/01 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
invention-11,IN05-abcdef,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",2100/07/01 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
#startMoment
invention-12,IN06-abcdef,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",1999/12/31 23:59,2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
invention-13,IN07-abcdef,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2201/01/01 00:00,2200/01/01 00:02,http://lorem.com/ipsum,true,inventor-01
invention-14,IN08-abcdef,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","",2100/07/02 00:00,http://lorem.com/ipsum,true,inventor-01
#endMoment
invention-15,IN09-abcdef,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2100/07/01 23:59,1999/12/31 23:59,http://lorem.com/ipsum,true,inventor-01
invention-16,IN10-abcdef,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2100/07/01 23:59,2201/01/01 00:00,http://lorem.com/ipsum,true,inventor-01
